frame_id,select_ms,dqbuf_ms,rga_ms,input_prepare_ms,model_total_ms,draw_ms,snapshot_ms,qbuf_ms,total_ms,fps,detect_count,bytesused
64,0.012,0.006,2.620,0.002,51.071,2.118,0.000,0.082,55.918,17.883,3,1382400
65,0.006,0.005,2.513,0.001,48.170,2.556,0.000,0.091,53.348,18.745,3,1382400
66,0.007,0.006,2.559,0.001,58.488,1.912,0.000,0.150,63.131,15.840,1,1382400
67,0.013,0.010,3.861,0.002,45.657,1.936,0.000,0.088,51.575,19.389,2,1382400
68,0.009,0.005,2.811,0.001,46.980,2.420,0.000,0.080,52.312,19.116,3,1382400
69,0.008,0.005,2.568,0.002,66.773,2.570,0.000,0.200,72.135,13.863,1,1382400
70,0.019,0.012,4.862,0.001,48.162,1.590,0.000,0.080,54.735,18.270,2,1382400
71,0.010,0.006,2.543,0.002,40.543,1.609,0.000,0.083,44.802,22.320,2,1382400
72,0.011,0.006,2.738,0.001,43.472,1.576,0.000,0.074,47.883,20.884,2,1382400
73,0.009,0.005,2.469,0.001,53.285,1.290,0.000,0.100,57.165,17.493,1,1382400
74,0.009,0.006,3.137,0.002,42.407,1.546,0.000,0.079,47.194,21.189,2,1382400
75,0.009,0.006,2.567,0.002,59.553,3.417,0.000,0.146,65.707,15.219,2,1382400
76,0.013,0.008,4.031,0.002,47.613,2.307,0.000,0.099,54.081,18.491,2,1382400
77,0.011,0.006,3.036,0.001,48.718,1.608,0.000,0.081,53.468,18.703,2,1382400
78,0.009,0.006,2.522,0.002,48.948,1.588,0.000,0.072,53.153,18.814,2,1382400
79,0.006,0.004,2.607,0.002,47.789,1.611,0.000,0.080,52.105,19.192,2,1382400
80,0.007,0.006,2.601,0.002,49.924,1.261,0.000,0.105,53.911,18.549,1,1382400
81,0.011,0.007,3.306,0.002,50.825,1.212,0.000,0.101,55.470,18.028,1,1382400
82,0.008,0.006,3.097,0.001,47.343,1.557,0.000,0.080,52.098,19.195,2,1382400
83,0.008,0.006,2.520,0.001,57.524,3.463,0.000,0.153,63.682,15.703,2,1382400
84,0.013,0.010,3.829,0.001,42.517,1.546,0.000,0.073,47.996,20.835,2,1382400
85,0.006,0.005,2.548,0.002,45.826,0.853,0.000,0.081,49.328,20.273,1,1382400
86,0.008,0.006,2.551,0.002,50.824,1.178,0.000,0.088,54.664,18.294,1,1382400
87,0.008,0.005,2.813,0.001,43.483,0.910,0.000,0.082,47.308,21.138,1,1382400
88,0.009,0.006,2.596,0.002,46.213,0.932,0.000,0.078,49.842,20.063,1,1382400
89,0.007,0.004,2.666,0.002,59.697,1.961,0.000,0.146,64.491,15.506,1,1382400
90,0.013,0.009,3.913,0.001,49.506,1.755,25.958,0.086,81.277,12.304,2,1382400
91,0.007,0.006,2.614,0.002,46.087,1.747,0.000,0.081,50.551,19.782,2,1382400
92,0.010,0.006,2.565,0.001,44.674,1.759,0.000,0.085,49.103,20.365,2,1382400
93,0.008,0.007,2.583,0.002,39.169,0.653,0.000,0.122,42.549,23.502,1,1382400
94,0.010,0.006,3.363,0.002,53.694,2.746,0.000,0.246,60.073,16.646,2,1382400
95,0.013,0.010,3.295,0.002,51.157,2.988,0.000,0.121,57.594,17.363,2,1382400
96,0.009,0.008,3.356,0.002,50.640,2.054,0.000,0.092,56.169,17.804,2,1382400
97,0.009,0.006,2.919,0.001,49.158,1.629,0.000,0.080,53.809,18.584,2,1382400
98,0.009,0.006,2.584,0.002,48.980,0.888,0.000,0.079,52.554,19.028,1,1382400
99,0.009,0.006,2.533,0.001,46.491,1.574,0.000,0.079,50.699,19.724,2,1382400
100,0.011,0.006,2.548,0.002,46.749,0.946,0.000,0.078,50.346,19.863,1,1382400
101,0.007,0.006,2.540,0.001,45.166,1.590,0.000,0.082,49.398,20.244,2,1382400
102,0.008,0.006,2.446,0.001,59.734,3.526,0.000,0.156,65.885,15.178,2,1382400
103,0.015,0.011,3.963,0.001,42.420,1.107,0.000,0.090,47.613,21.003,1,1382400
104,0.009,0.006,2.905,0.001,48.606,1.112,0.000,0.099,52.744,18.960,1,1382400
105,0.017,0.007,2.706,0.001,44.439,1.441,0.000,0.076,48.693,20.537,2,1382400
106,0.007,0.006,2.533,0.001,53.722,2.923,0.000,0.131,59.330,16.855,2,1382400
107,0.013,0.010,3.277,0.001,55.754,1.982,0.000,0.153,61.198,16.340,1,1382400
108,0.013,0.009,3.849,0.002,47.188,1.586,0.000,0.074,52.730,18.965,2,1382400
109,0.008,0.006,2.571,0.002,49.842,0.854,0.000,0.080,53.369,18.738,1,1382400
110,0.009,0.005,2.530,0.002,67.550,4.655,0.000,0.193,74.951,13.342,2,1382400
111,0.015,0.012,4.596,0.001,43.026,1.590,0.000,0.081,49.328,20.272,2,1382400
112,0.011,0.006,2.467,0.001,48.849,2.983,0.000,0.124,54.448,18.366,2,1382400
113,0.011,0.009,3.365,0.001,53.842,1.312,0.000,0.108,58.656,17.049,1,1382400
114,0.009,0.007,3.188,0.001,50.066,1.685,0.000,0.083,55.046,18.167,2,1382400
115,0.008,0.006,2.536,0.001,54.457,1.748,0.000,0.121,58.884,16.982,1,1382400
116,0.009,0.007,3.404,0.001,45.840,2.293,0.000,0.102,51.663,19.356,2,1382400
117,0.012,0.007,3.182,0.001,52.852,1.707,0.000,0.080,57.848,17.287,2,1382400
118,0.008,0.006,2.531,0.002,46.006,2.070,0.000,0.105,50.736,19.710,2,1382400
119,0.012,0.007,2.975,0.002,39.563,0.893,0.000,0.082,43.540,22.967,1,1382400
